Riv,Reg,RepID,Hg_µmolperkg,Cd_µmolperkg,Pb_µmolperkg,Cr_µmolperkg,Co_µmolperkg,Ni_µmolperkg,Cu_µmolperkg,Zn_µmolperkg,As_µmolperkg,Cd_µM,Pb_µM,Cr_µM,Co_µM,Ni_µM,Cu_µM,Zn_µM,As_µM,Clay,OM,pH,TEMP,COND,OXY,Hardness
mei,SW,mei3,0.565909473,2.809981316,158.8544453,594.3900548,62.64284225,159.9383496,629.2633334,3169.328844,73.38644131,0.0004448,0.001611969,0.006250481,0.000848421,0.005741741,0.018411859,0.030590395,0.02071543,0.59,3.65,7.61,15,726,1.25,171.8690338
mei,SW,mei4,0.368117558,3.328228969,170.2042413,479.2440809,50.03487564,117.9243699,449.4631156,2403.154536,51.25088697,0.0004448,0.001809846,0.006000462,0.000848421,0.00085189,0.018160073,0.015295197,0.021089162,0.59,3.65,7.61,15,726,1.25,158.8279404
mei,SW,mei5,0.367556652,2.929625861,138.9401549,439.283654,47.7067449,112.8037645,385.5068693,2179.44345,36.28019966,0.0004448,0.001505792,0.006750519,0.000848421,0.00085189,0.017420451,0.030590395,0.021249333,0.59,3.65,7.61,15,726,1.25,184.7937646
mlb,SE,mlb1,0.807473651,1.440896181,115.9542425,236.0844892,29.56606325,56.78153961,99.09737171,922.3362822,37.21125052,0.0004448,0.006814672,0.006904377,0.000848421,0.011722011,0.047209895,0.198837565,0.018339562,2,2.05,7.94,13.9,664,9.47,212.8620499
mlb,SE,mlb2,0.466018422,1.094192725,39.96254396,194.6359767,28.05042786,50.37869643,68.28717221,887.0619954,30.79880287,0.0004448,0.006544402,0.006788984,0.000848421,0.007513673,0.03751613,0.16824717,0.017004805,2,2.05,7.94,13.9,664,9.47,195.360377
mlb,SE,mlb3,2.129673552,1.104737065,43.87177474,238.4506499,26.55069347,53.57242016,89.50372964,975.7654374,39.05183005,0.0004448,0.005545367,0.005519655,0.000848421,0.019303835,0.035124162,0.152951973,0.01697811,2,2.05,7.94,13.9,664,9.47,201.5552288
mlb,SE,mlb4,1.489459257,2.396435878,101.7397305,282.7800872,39.89245456,87.5381272,168.8737823,1531.692238,51.31920964,0.0004448,0.005878378,0.006538965,0.000848421,0.018792701,0.042016807,0.16824717,0.018606514,2,2.05,7.94,13.9,664,9.47,202.1673084
mlb,SE,mlb5,0.820337987,1.596929392,61.48785101,262.9575694,31.56010531,68.7306379,124.2954183,1233.408616,44.9921854,0.0004448,0.007142857,0.009885376,0.000848421,0.064454023,0.04634438,0.198837565,0.020061399,2,2.05,7.94,13.9,664,9.47,210.0279164
mne,SE,mne1,1.890321518,48.97687677,467.6526135,155.5096876,97.01254578,199.2652355,175.9105433,10778.49323,2788.7464,0.012365448,0.052060811,0.00880837,0.063292213,0.085478677,1.018569225,1.789538085,0.136732515,2.46,2.27,7.82,14.9,427,7.08,125.6178154
mne,SE,mne2,1.474066642,64.88314817,705.5056028,146.6207798,84.12296618,176.2386984,146.5712299,9935.546708,2725.425025,0.011618183,0.051476834,0.008673744,0.064378192,0.073910006,1.044031096,1.850718874,0.139108382,2.46,2.27,7.82,14.9,427,7.08,131.1223587
mne,SE,mne3,0.584585143,32.68576871,356.3981797,89.17478846,103.7157162,375.685848,90.49697341,7707.831854,1823.739756,0.010648519,0.047779923,0.008019848,0.06117116,0.072734398,0.996443521,1.605995717,0.133248799,2.46,2.27,7.82,14.9,427,7.08,119.2598392
mne,SE,mne4,0.962530964,47.21165427,428.7349519,102.3523715,122.3940717,409.7609638,134.6216472,8933.070656,1850.666669,0.010061382,0.040168919,0.010116163,0.061272971,0.069650555,0.978031662,1.407158152,0.119487453,2.46,2.27,7.82,14.9,427,7.08,120.3743961
mne,SE,mne5,0.519043932,36.29852596,325.8021106,82.76446115,39.28732258,101.787592,79.89246848,6185.872212,1483.519291,0.011039943,0.049015444,0.008173706,0.062392887,0.075886392,1.008293205,1.575405323,0.136332088,2.46,2.27,7.82,14.9,427,7.08,115.9466444
mom,SE,mom1,0.815862936,3.04408437,89.37110031,243.4968919,51.66808483,115.7568769,152.2585162,1238.133877,37.13450463,0.001850369,0.00746139,0.00478883,0.000848421,0.00085189,0.029364555,0.122361578,0.021195942,0.72,3.3,8.14,15.5,822,10.33,333.6279942
mom,SE,mom2,0.732808082,2.092254757,62.40622513,252.9244712,50.38396585,116.7910816,158.4535166,1275.761398,40.09045453,0.003211458,0.006370656,0.010904685,0.000848421,0.00085189,0.024580619,0.091771184,0.019914576,0.72,3.3,8.14,15.5,822,10.33,277.6178907
mom,SE,mom3,1.037290739,2.60020478,78.06456123,275.7332122,54.13620479,127.0312817,168.2378503,1360.73495,36.50075078,0.0004448,0.004749035,0.004346488,0.000848421,0.00085189,0.020127152,0.061180789,0.017632141,0.72,3.3,8.14,15.5,822,10.33,272.1721974
mom,SE,mom4,1.359636705,3.043782475,82.06296481,273.513446,53.93478468,124.8698514,164.7287808,1354.887584,37.13082184,0.005248643,0.008209459,0.006712055,0.000848421,0.00085189,0.030529066,0.152951973,0.021676455,0.72,3.3,8.14,15.5,822,10.33,331.2194466
mom,SE,mom5,1.168826424,2.041335205,58.64742851,217.0121787,48.75569769,114.2284811,127.7205489,1113.196462,39.94982887,0.00305133,0.005733591,0.004731133,0.000848421,0.00085189,0.022629276,0.091771184,0.019327282,0.72,3.3,8.14,15.5,822,10.33,281.316484
mot,SW,mot1,0.563545317,2.44846199,42.57797367,182.525113,46.53566631,63.97603748,130.2459285,760.3058294,17.51555004,0.0004448,0.001766409,0.005346565,0.004360884,0.020138688,2.052670506,0.061180789,0.026014415,1.48,1.4,7.62,15.1,703,3.31,224.3082679
mot,SW,mot2,0.422556216,1.685479602,25.38677656,100.8766513,39.93266559,46.72197937,96.89995856,622.7436553,13.57616948,0.0004448,0.002065637,0.005269636,0.00376699,0.019883121,1.735545904,0.076475987,0.026615056,1.48,1.4,7.62,15.1,703,3.31,231.8048851
mot,SW,mot3,0.467248295,1.009313985,16.97474196,96.57867556,107.6430071,39.33353209,64.50839073,443.5697759,10.40309874,0.0004448,0.002031853,0.004904223,0.004598442,0.025829315,2.024139993,0.061180789,0.028336893,1.48,1.4,7.62,15.1,703,3.31,220.4502174
mot,SW,mot4,0.619075773,1.944288946,28.40806661,82.53855961,31.77575505,38.33760442,74.72789557,470.5104159,10.47544296,0.0004448,0.001877413,0.005404262,0.004174232,0.028725742,2.060239826,0.061180789,0.027616124,1.48,1.4,7.62,15.1,703,3.31,228.050463
mot,SW,mot5,0.666928881,0.969712004,16.5000165,89.86007909,29.17399902,37.81958374,62.14341875,398.474656,13.09460675,0.0004448,0.001809846,0.005058081,0.003733053,0.034501559,1.957180625,0.076475987,0.025480513,1.48,1.4,7.62,15.1,703,3.31,241.597932
osc,SW,osc1,4.735683405,14.70050416,2387.601654,2513.075988,143.8101449,252.2964379,831.677717,4847.288064,186.7550468,0.0004448,0.010357143,0.022174783,0.003716084,0.023733665,1.287760048,0.137656776,0.033809397,0,4.34,7.82,17.1,661,6.66,143.5343252
osc,SW,osc2,4.096622453,10.39283869,459.4988321,2257.297238,131.9607475,230.5050554,747.6088051,4507.922664,182.3637208,0.0004448,0.011640927,0.027425187,0.004106358,0.034791202,1.434094986,0.152951973,0.034183129,0,4.34,7.82,17.1,661,6.66,150.7000102
osc,SW,osc3,1.335545184,3.927888608,169.8299622,830.1820478,65.40885902,105.3187845,265.5951836,1818.547892,58.00700486,0.0004448,0.013016409,0.026502039,0.00473419,0.034297105,1.53438454,0.183542368,0.034783769,0,4.34,7.82,17.1,661,6.66,188.8181548
osc,SW,osc4,4.695222073,13.90549213,681.5300085,2839.886182,153.5357689,274.7220342,902.6836141,5253.085738,182.7063924,0.0004448,0.009227799,0.021136241,0.004038484,0.014601401,1.229644667,0.122361578,0.033876135,0,4.34,7.82,17.1,661,6.66,152.2679979
osc,SW,osc5,3.780387519,8.553639653,472.2082449,2271.571963,126.3180903,224.1138924,729.7978495,4289.917556,147.3250566,0.0004448,0.009908301,0.022309408,0.003970611,0.020053499,1.18917005,0.122361578,0.031433529,0,4.34,7.82,17.1,661,6.66,151.2373222
vel,SE,vel1,0.397789219,8.384924576,120.7767141,436.3031071,74.97517298,188.2893481,324.9035277,2430.206395,52.98556907,0.0004448,0.008638996,0.014847296,0.000848421,0.00085189,0.032134202,0.152951973,0.028710625,0,4.61,7.62,16.6,832,7.18,270.0591246
vel,SE,vel2,0.418673521,8.042331935,117.1843521,430.961985,81.39477602,193.671699,339.182039,2349.910516,59.14670103,0.0004448,0.007639961,0.012808678,0.000848421,0.00085189,0.03452617,0.152951973,0.027776295,0,4.61,7.62,16.6,832,7.18,260.7741153
vel,SE,vel3,0.395256283,9.874409828,155.259019,429.5222844,82.73792532,195.5331174,350.6733376,2441.789706,60.98193912,0.0004448,0.00871139,0.014404954,0.000848421,0.00085189,0.035076952,0.16824717,0.026695141,0,4.61,7.62,16.6,832,7.18,281.9397762
vel,SE,vel4,0.317760359,12.56183785,121.1089319,407.8324892,70.13497855,171.5016428,294.1239007,2206.369052,50.45709613,0.0004448,0.00902027,0.015501192,0.000848421,0.00085189,0.032496145,0.183542368,0.02879071,0,4.61,7.62,16.6,832,7.18,292.315697
vel,SE,vel5,0.124074002,1.505546011,26.88192708,130.5763421,23.39598223,44.52388561,41.51525544,476.2143313,20.19741914,0.0004448,0.007514479,0.013270252,0.000848421,0.00085189,0.02840462,0.122361578,0.026908703,0,4.61,7.62,16.6,832,7.18,260.6678105
vne,SE,vne1,0.123624793,4.014960661,43.10908566,58.94722837,100.9874826,98.61191611,90.84679529,1731.984055,187.8046828,0.001298817,0.00527027,0.007808293,0.03225697,0.018145264,2.793598338,0.489446314,0.063814736,0,1.63,8.06,14,437,9.03,130.8686831
vne,SE,vne2,0.31790064,11.34555456,122.6775195,116.1302728,250.6164272,235.8457364,245.7775265,4133.263262,465.5756287,0.0004448,0.004145753,0.00744288,0.028303328,0.021433561,2.7310767,0.367084735,0.057981847,0,1.63,8.06,14,437,9.03,115.1006364
vne,SE,vne3,0.024581708,0.789566838,30.67499554,29.11318918,37.56722652,36.54469071,31.42593058,499.1933679,130.9056394,0.0004448,0.004203668,0.006865913,0.027217349,0.009847852,2.6248387,0.458855919,0.061185264,0,1.63,8.06,14,437,9.03,126.4126713
vne,SE,vne4,0.048528116,1.212343811,31.47659626,28.36255883,42.28478509,40.30163609,36.15151454,607.8326001,136.6199809,0.000978561,0.0033639,0.007462112,0.027251285,0.050687476,2.736018003,0.351789538,0.049933262,0,1.63,8.06,14,437,9.03,120.849417
vne,SE,vne5,0.049719933,1.508286302,32.41810782,35.00521481,30.37705844,39.33729569,48.41799077,880.1784074,177.248764,0.001627969,0.00648166,0.010135395,0.036176675,0.048131804,3.222736286,0.535331906,0.07923118,0,1.63,8.06,14,437,9.03,118.195986
waa,SW,waa1,1.376643554,1.052807696,28.27284072,213.5704723,29.53649194,80.90637362,285.7184745,723.8245941,20.00868614,0.0004448,0.002668919,0.00401954,0.003699116,0.003714242,0.014934064,0.030590395,0.049239188,0.63,10.81,7.4,14.4,833,2.32,284.9276944
waa,SW,waa2,3.977364891,1.102081974,29.94286939,124.9429037,27.83224779,58.59384531,66.98595965,771.5055173,24.00975312,0.0004448,0.002567568,0.005000385,0.003512463,0.012420561,0.017278822,0.030590395,0.050173518,0.63,10.81,7.4,14.4,833,3.32,258.7488002
waa,SW,waa3,0.659931466,1.744614163,40.74625946,332.1903853,41.59640568,140.920159,154.3843311,466.2086224,89.65347936,0.0004448,0.001993243,0.003442573,0.003037347,0.003475713,0.013061404,0.015295197,0.049773091,0.63,10.81,7.4,14.4,833,4.32,225.5583941
waa,SW,waa4,2.615009396,11.84197116,38.95299694,302.7404142,36.77834884,127.0584669,200.6015605,450.1971179,71.00474341,0.0004448,0.002388996,0.004865759,0.003919705,0.009898966,0.014776697,0.030590395,0.05329685,0.63,10.81,7.4,14.4,833,5.32,234.403008
waa,SW,waa5,0.64658483,1.730697239,37.10003585,340.5805635,41.8994277,141.5957214,116.9659605,447.1860495,78.76774593,0.0004448,0.002104247,0.00401954,0.003291874,0.021655053,0.015311743,0.030590395,0.049265884,0.63,10.81,7.4,14.4,833,6.32,239.7679116
win,SE,win1,0.24594442,1.097188665,30.76231493,383.126887,30.22003087,73.04318792,28.56971128,762.3452314,109.5067101,0.0004448,0.004295367,0.0059043,0.003410653,0.009677474,0.433465521,0.091771184,0.021022424,0.72,0.68,7.71,14.2,578,7.12,158.6686706
win,SE,win2,0.22137182,1.14118881,26.336283,308.4864827,27.29280391,62.87882157,25.54446339,600.5485503,88.50964613,0.0004448,0.003267375,0.004481114,0.002596169,0.003407561,0.383674818,0.061180789,0.021716498,0.72,0.68,7.71,14.2,578,7.12,141.8848749
win,SE,win3,0.221486563,0.92220718,27.42203779,318.99472,26.13425937,61.48160849,24.93623984,579.1147148,89.01674971,0.0004448,0.003716216,0.00555812,0.002714947,0.015197724,0.378214207,0.107066381,0.020848905,0.72,0.68,7.71,14.2,578,7.12,154.2734704
win,SE,win4,0.171602349,1.137372876,32.96453557,362.6852553,28.45314626,69.95755683,25.53643033,577.8570069,99.04349061,0.0004448,0.003499035,0.004808062,0.002867663,0.011636822,0.355994083,0.076475987,0.021169247,0.72,0.68,7.71,14.2,578,7.12,157.0454549
win,SE,win5,0.222238053,0.925336171,26.84572871,287.6882999,24.28983055,56.45793656,26.26799194,540.1691852,80.26128526,0.0004448,0.004015444,0.004981152,0.002562232,0.011210877,0.385972366,0.091771184,0.019994661,0.72,0.68,7.71,14.2,578,7.12,157.6724378
wit,Maas,wit1,0.170499835,1.477777909,14.17163381,38.33764477,6.466529365,13.15242941,14.68521637,336.7297377,9.390742332,0.0004448,0.010144788,0.00786599,0.000848421,0.00085189,0.023604948,0.428265525,0.012266418,0.99,0.52,6.97,14.5,242,9.74,55.95461235
wit,Maas,wit2,0.171194063,1.221948831,30.66055091,57.74061745,11.82033354,23.98808202,54.19370343,505.5004747,13.09580391,0.0004448,0.008759653,0.006269713,0.000848421,0.00085189,0.01784534,0.305903946,0.011105179,0.99,0.52,6.97,14.5,242,9.74,44.9717676
wit,Maas,wit3,0.099182679,0.88493255,23.95664031,45.91519407,10.54961439,19.06695457,16.67157026,449.2971341,13.74224537,0.0004448,0.010072394,0.007789061,0.000848421,0.00085189,0.023793787,0.382379933,0.011852643,0.99,0.52,6.97,14.5,242,9.74,50.24526966
wit,Maas,wit4,0.123683067,1.059389866,19.92430107,33.87723356,12.37679807,19.61332374,14.75785048,359.811102,15.2990242,0.0004448,0.009440154,0.007231325,0.000848421,0.00085189,0.021134296,0.382379933,0.012106247,0.99,0.52,6.97,14.5,242,9.74,51.73694327
wit,Maas,wit5,0.246625773,1.364283054,32.35171312,64.79252657,12.17186681,14.32881751,19.38469032,371.2948115,7.329476365,0.0004448,0.00871139,0.141914763,0.000848421,0.00085189,0.019151481,0.336494341,0.011906033,0.99,0.52,6.97,14.5,242,9.74,46.59260729
